x,I
210.2,2
210,2
209.8,0
209.6,0
209.4,0
209.2,0
209,0.2
208.8,0.1
208.6,0.4
208.4,0.2
208.2,0.3
208,0
207.8,0.3
207.6,0.3
207.4,0.4
207.2,0.4
207,0.8
206.8,1.5
206.6,2.1
206.4,3
206.2,3
206,3
205.8,2
205.6,2
205.4,1
205.2,1
205,1
204.8,2
204.6,3
204.4,5
204.2,9
204,10
203.8,9
203.6,8
203.4,7
203.2,3
203,2
202.8,1
202.6,3
202.4,7
202.2,18
202,27
201.8,36
201.6,41
201.4,44
201.2,30
201,28
200.8,14
200.6,10
200.4,12
200.2,41
200,97
199.8,202
199.6,258
199.4,474
199.2,735
199,927
198.8,1088.00
198.6,1230.00
198.4,1384.00
198.2,1440.00
198,1432
197.8,1375
197.6,1246
197.4,1065
197.2,845
197,634
196.8,454
196.6,321
196.4,202
196.2,72
196,37
195.8,12
195.6,10
195.4,15
195.2,24
195,35
194.8,37
194.6,36
194.4,30
194.2,22
194,11
193.8,5
193.6,2
193.4,1
193.2,2
193,5
192.8,8
192.6,9
192.4,8
192.2,8
192,7
191.8,4
191.6,3
191.4,1
191.2,1
191,1
190.8,1
190.6,2
190.4,3
190.2,3
190,3
189.8,2
189.6,2
189.4,1
189.2,1
189,0
188.8,1
188.6,1
188.4,1
188.2,1
188,0
187.8,1
187.6,1
187.4,1
187.2,0
187,1
